,contrast,energy,homogeneity,correlation,dissimilarity,ASM,Type
1777,0.33002450980392156,0.6155513371155795,0.9378682744162847,0.968805119506352,0.15422794117647057,0.37890344862477776,1
283,0.1890625,0.5874917794410383,0.9491382336305563,0.979137666240328,0.11571691176470589,0.3451465909107976,0
472,0.31893382352941174,0.31799268717574664,0.8596669550173011,0.9679888911999378,0.2870404411764706,0.10111934909725226,0
787,0.20346200980392157,0.4558077236008813,0.9164102148212225,0.9564718227939109,0.17310049019607843,0.2077606808942174,0
115,0.3890931372549019,0.39895677464641716,0.8973146597822202,0.9642073735321883,0.23480392156862742,0.15916650803627208,0
390,0.3405330882352941,0.45868317106770723,0.9041726738466573,0.9620841034886595,0.2150122549019608,0.2103902514207276,0
1739,0.41302083333333334,0.7004760685488787,0.9376133460033762,0.9600636083682801,0.16528799019607843,0.4906667226096933,1
1071,0.18967524509803924,0.7335520298725746,0.9651915302396488,0.9812258688539658,0.08762254901960784,0.5380985805301746,1
774,0.2649203431372549,0.6096665598721561,0.943712169340954,0.9687057564126209,0.1357230392156863,0.37169331422634927,0
117,0.20897671568627452,0.619307879461394,0.9536202291008737,0.97568004396029,0.11056985294117647,0.38354224956296856,0
767,0.39535845588235297,0.38926836279925714,0.9038384772973331,0.9636032789406102,0.22314644607843137,0.15152985827641408,0
1605,0.28198529411764706,0.547467741794043,0.9236336028602465,0.9724022928107001,0.17294730392156862,0.29972092830506897,1
1461,0.3223345588235294,0.6138525848616381,0.9295581291049502,0.9623214231952865,0.1681372549019608,0.3768149959413146,1
164,0.2947763480392157,0.5266427261689925,0.9380796958665147,0.9691615694932745,0.14995404411764707,0.27735256102670847,0
1427,0.3839460784313725,0.5524049125756163,0.9205309353471118,0.9653296557253759,0.19341299019607844,0.3051511874376743,1
375,0.17397365196078432,0.6065618100261331,0.9483395647568982,0.9799951405078952,0.11478247549019606,0.3679172293821787,0
1355,0.43618259803921566,0.6285345922936071,0.9135186340602646,0.9605027650523095,0.213265931372549,0.39505573370969094,1
1264,0.4092830882352941,0.5969585126008525,0.9103572091105613,0.9556307561300416,0.2147671568627451,0.35635946576662225,1
